Auteur(s),Titre,Edition,Date,ISBN
De François Thomazeau,Marseille insolite,Photographies de Sylvain Ageorges,2011,1583710267
B Frederick,Dictionnaire des questions internationales,L'Atelier,1995,1227269227
Implications et conséquences de l'allongement de la vie humaine depuis le None8e siècle,Le Vieillissement,Presses Universitaires de Lyon,1985,1205798707
auzias/alNone dominique,"Bourg-en-bresse 2003, le petit fute",Le Petit Futé,2002,1188594647
"Mimaud-Lacoste, Hele",Un Volcan Dans La Mer,Publibook,2006,1187170137
Claire Cantais,Victoire s'entête,Atelier du poisson soluble,2006,1021758827
"Marcel, Alain",Prendre en main le changement,Eska,1996,1013804047
Préface de Jean-Pierre Croquet,Y'aura,Éditions du Masque,2002,1233019277
"De Jean-Pascal Soudagne, Patrick Buisson",La grande guerre 1914-1918,Préface de Max Gallo,2008,1089866317
georgel pierre,Hogarth,Flammarion,2008,1855388187
"faubourgs et banlieues en France, None8None5-None870",Aux marges de la ville. Faubourgs et banlieues en France (1815-1870),Traduit par Jean-Pierre Bardos,1999,1915322517
De François Galichet,Pratiquer la philosophie à l¿école : 15 débats,Nathan,2007,1844282387
De Florence Cestac,"Les Déblok.

5 - Les Déblok  - Tome 5 - Farandole de farces à la Déblok",Dargaud,2004,1730450457
De Brigitte Smadja,Tresor Bien Cache (Un),Illustrations de Catharina Valckx,1999,1724449057
De John Bellairs,"Kévin et les magiciens.

6 - Kévin et les magiciens numéro 6 : L'opéra maléfique",Illustrations de Lalex,2003,1667454517
La sérénité par la relaxation et la méditation,Le principe du calme,J'ai Lu,2003,1645164677
La Deviniere ou le Havre Perdu,Rabelais,"Illustrations de Catherine Desjeux, Bernard Desjeux",2000,1067418737
mes ouvrages,Mes ouvrages,Actes Sud,1989,1066806367
De Anne-Marie Duport,Journees de revolution a nimes,Éditions Jacqueline Chambon,1988,1058390237
informatique pour mathématiciens,Math-info,Dunod,1995,1205894607
Initiation à sa philosophie,Leibniz,Vrin,2005,1223882757
De Raymond Radiguet,Diable Au Corps (Le),Édité par Christiane Blot-Labarrère,1997,1915304407
None944-None948,"Oeuvres complètes / Albert Camus

II, 1944-1948 - Oeuvres complètes, 1944-1948",Autres contributions de Jacqueline Lévi-Valensi,2006,1865383257
Yukio Mishima,Le Pavillon D'Or,Gallimard,1961,1865329187
De Anatole France,Dieux ont soif (broche) (Les),Illustrations de Roman Cieślewicz,1989,1824690737
None de généalogie,L'espace politique de la santé. Essai de généalogie,PUF,1998,1805017677
"""La plus noble conquête du cheval, c'est la femme""",Une anthologie de la littérature équestre féminine,Rocher,2007,1667436407
un diplomate philosophe,"Pierre Chanut, ami de Descartes",Beauchesne,1999,1234486457
"De Bernard Godi, Zidrou","L'élève Ducobu

6 - L'Elève Ducobu - Tome 6 - Amour de Potache (Un)",Le Lombard,2007,1131884037
"l'action en justice, le procès, les voies de recours",Procédure civile,Gualino,2005,1093494937
De Marie-Christine Natta,Le temps des mousquetaires,Éditions du Félin,2005,1069044507
De Prosper Mérimée,Lettres d'Espagne,Préface de Gérard Chaliand,1999,1065227327
De Rick Moody,A la recherche du voile noir,Éditions de L'Olivier,2004,1056206727
Manuel de photoethnographie,L'homme sur la photo,Téraèdre,2004,1022632197
De Josselyne Chourry,Kabbale et connaissance,Diffusion rosicrucienne,2003,1021274147
Wendermann/Kirsten,Candida Hofer Weimar /anglais,Schirmer-Mosel,2007,105896827
De Fatima Gallaire,La beauté de l'icône,Art et Comédie,2003,1091276887
De Natsume Sôseki,Je suis un chat,Traduit par Jean Cholley,1986,1864793947
Contribution à une théorie de l'art contemporain,Fréquenter les incorporels,PUF,2006,1804947387
"De Marie Aubinais, Pomme d'api",Petit Ours Brun et le bébé,Illustrations de Danièle Bour,1998,1707791117
De Pierre Cheymol,Les empires du rêve,José Corti,1960,1221195167
Collectif,"Recettes littéraires.

1 - Recettes littéraires, I : Hors d'œuvre froids et chauds, potages",Mercure de France,1998,1220279537
De Francis Michel Mbadinga,Les Eglises de réveil face à la crise de l'Etat en Afrique,Harmattan,2005,1187903047
phonétique et morphologie,Grammaire historique de la langue française,Ressouvenances éditions,2004,1090449947
De William TNone Kirwan,Les fondements bibliques de la relation d’aide,Préface de Claude Buchhold,1999,1024239447
Collectif,Actes du onzième congres international de numismatique t2. monnaies celtiques et romaines,Numismatica Hoc,2005,1005051207
De François-Marie Grau,Les industries de l'habillement,Que sais-je ?,1998,1805023107
La foi chrétienne à la lumière des Saintes Écritures,Catholique et Chrétien,CLE Lyon,1997,1029410217
De Michel Sottet,"Henri Mouvant peintre, ou la déchirure du monde",Huguet,2003,1028089717
De Alain-Pierre Pillet,"Watt Mer.

T. 1 - watt mer t1",Illustrations de Jacques Monory,2000,1022334977
Pearlman Debra,Where Is Jasper Johns? (Adventures in Art) /anglais,Prestel,2007,144163177
"de Pont-Aven à ""Die Brücke""",Cuno amiet,Traduit par Claude Ritschard,2000,650720007
None,"Les cahiers de Malte Laurids Brigge Rilke, Rainer Maria",Autres contributions de Maurice Betz,1980,1915445537
Édité par Alain Schnapp,"Histoire de l'art Flammarion.

Préhistoire et Antiquité - Histoire de l'art. prehistoire et antiquite (broche)",Flammarion,1998,1855392457
"HNone DUBOIS -  ENone BARNAVI - ANone CORVOL -MOUGEL  - XNone de MONTCLOS - MNone BOGUCKA - PNone GUIRAL - GNone THUILLIER - BNone SCHNAPPER - JNone BESSIS - BNone BONNASSIE, etcNoneNoneNoneNone",Revue historique n°627 2003,PUF,2003,1804965367
comédie héroïque en 5 actes,cyrano de bergerac ancienne edition,Illustrations de Philippe Dumas,1989,1724427147
les marchés à terme agricoles,"Les marchés à terme agricole, Science et Economie - Niveau B",Ellipses,2002,1205686547
Postface de Michel Delon,Art de foutre en quarante manières,Fayard/Mille et une nuits,2005,1093441467
Reynald Lecerf,L'aventure 2 CV,EPA – éditions pratiques automobiles,2007,1084293587
"De Patrick Barbaste, Olivier Nys, Luc Stahl",Gestion de la dette,Territorial,2002,1094195597
Dickens,The Mystery Of Edwin Drood,Oxford University Press,2006,552303609
None,Pop Up Oxford French Dictionary On Cd Rom,Oxford University Press,2001,558080389
Hack/Kunen,Women By Women /anglais,Prestel,2005,144171667
De Joël Rochoy,"Desvres et son canton.

Tome III - Desvres et son canton - Tome III",Éditions Sutton,2007,1086394487
avec des animations pour découvrir le corps,Le Corps,Nathan,2007,1842984527
Préface de Rémi Brague,La théologie de l'Histoire de saint Bonaventure,Traduit par Robert Givord,2007,1804941067
De Richard George Fariña,L'avenir n'est plus ce qu'il était,Traduit par Brice Matthieussent,2007,1671456357
De Martine Jolly,Réussir votre cuisine,Bouquins,1982,1713997087
Autres contributions de Baudouin Caironi,Homéopathie du nourrisson et de l'enfant,Dangles,2003,1232194797
"la préservation de l'eau, fondement de toute vie, nécessite une conscience nouvelle",Mieux Comprendre L'Eau,Triades,2006,1083017497
Rédéfinir la classe de langue,"Triangle, n°15/1999",ENS Lyon,1998,1033373797
"approche spirituelle et expérimentale de l'existence d'une vie après la mort, témoignages et communications avec l'invisible",Le Langage de l'Invisible. www.langagedelinvisible.com,Kymzo,2006,982888587
"sa famille, son Dieu, son message","Thérèse de Lisieux. Sa famille, son dieu, son message",Jubilé,1997,1721902827
De Marguerite Lourié,Le show sans biz,Éditions du Petit pavé,1997,1023913227
Essais Sur Le Roman,L'ère du soupçon,Gallimard,1964,1865149867
Carnets d'enchères,Les conventions de Chelem,Rocher,2000,1667464267
De Sheri SNone Tepper,Priere a l'ange obscur,Traduit par Iawa Tate Giuliani,1999,1658259787
XIe-XIIIe siècles,Bergson. Tome II,Contributions de Michel Nortier,1999,1224196297
théorie et pratique,radar (Le) - Théorie et pratique - Niveau C,Ellipses,2002,1205688527
"De Tito Topin, Jean-Marc Rochette",À tes souhaits,Futuropolis,1985,1197845747
coordination et gouvernance distribuée,Épistemologie et économie de la relation,Vrin,1998,1223817257
ou La passion du diagnostic exact,René Théophile Laennec,Harmattan,2006,1639489967
Collectif MB2,Pour Une Économie Alternative Et Solidaire,Dirigé par Éric Dacheux,2002,1187983247
"De Ninon de Lenclos, Louis Damours",Lettres au Marquis de Sévigné,L'Arche,1999,1083685917
"[colloque, septembre None988, Paris]","Les Incasables, alibi ou défi ?",Desclée De Brouwer,1991,1027787227
la spiritualité en danger!,L'état inquisiteur,3 Monts,1999,1025765067
"De Edward Tonol, Fridrikh Neznanski",Une disparition de haute importance,Le Livre de poche,1990,1682464047
et autres contes,"Le vaillant soldat de plomb, La petite sirène",Le Livre de poche,2000,1682350797
"art, histoire et patrimoine des 693 communes","L'oise art, histoire et patrimoine des 693 communes",Delattre,2005,983666887
De Hubert Méthivier,Ancien regime (l'),Édité par Pierre Thibault,1994,1805032687
De Ayerdhal,L'Homme aux semelles de foudre,Flammarion,2000,1854820837
Barbara Cartland,Effrayee...,Traduit par Christine de Chasteigner,1999,1658267037
De Jean-Paul Zuanon,Les Sports de neige,Seuil,1997,1915294517
None,Le potentiel érotique de ma femme,Folio,2007,1865190517
les extrêmes droites européennes de None945 à aujourd'hui,L'europe en chemise noire,Flammarion,2004,1854699457
Dagouret PNone,Petite Encyclopedie Du Restaurateur  T2 Le Barman Universel,Flammarion,1986,1853500127
"De Claude Debout, Luce Dossat, Jean-Luc Brégeon, Daniel Bensimhon, Pierre-Yves Vicens",Diagonale CP - guide pédagogique,Nathan,2008,1844288617
De Robert Pico,Oklahoma,Denoël,1992,1728260607
De H PIERRE-PETIT,Mozart ou La musique instantanée,Tempus Perrin,2006,1673475387
None,La chienne de ma vie,Buchet-Chastel,2007,1652477357
[actes],La Comptabilité nationale face au défi international - [actes],"Dirigé par Edith Archambault, Oleg Arkhipoff",1999,1217681547
De Florence Dutruc-Rosset,"C'est la vie Lulu !

5 - Je suis amoureuse",Illustrations de Marylise Morel,2007,1188484437
Hervé CROENNE,L'Avènement Du Phénix,La Compagnie littéraire,2006,1058669307
De Bill Harris,New York Mille Monuments,Illustrations de Jorg Brockmann,2003,1079295937
Gremese,Coffret Lillibooks Comprenant 6 Ex Des Titres               55111-101-075-125-056-012-124-004.,Gremese,2003,642547707
"Cabrera P, Rouil",Le vase grec dans l'art Europeen des XVIIIe et XIXe siècles,Casa de Velázquez,2009,266352527
Dirigé par Michel Soymié,3 - Contributions aux études de Touen-Houang. Volume 3,EFEO – École française d'Extrême-Orient,2005,1080102937
Savoie and Haute-Savoie,The French Alps,Gallimard Loisirs,2008,1193075937
None,Box Auchan 300 Volumes,De Borée,1999,1090552707
De Colette,Le Blé en herbe,Flammarion,2004,1854813877
None,Livres Des Fetes Et Des Sacrements,Zodiaque Editions,2007,1715440187
De Erich Maria Remarque,A l'Ouest rien de nouveau,Le Livre de poche,1973,1682493587
De Patricia Wentworth,La trace dans l'ombre,Traduit par Corine  Derblum,1998,1671473767
la chaîne des humiliations,Congrès la chaîne des humiliations,"Traduit par Hans Hildenbrand, Laurent Valette",1994,1668490797
(None850-None974) - Trois facettes d'un rituel,L'enseignement de la lecture et de l'écriture au Portugal,Harmattan,2006,1639492387
"De Samuel Beckett, Jérôme Lindon",Mal vu mal dit,Les Éditions de Minuit,1981,1228196987
chroniques au temps du roi Arthur,Chasses royales - chroniques au temps du roi Arthur,Singulieres,2008,1580720047
De François Ribac,L'avaleur de rock,La Dispute - SNEDIT,2004,1092469267
De Georges Jean Arnaud,"La compagnie des glaces

6 - Compagnie Des Glaces - T06 - Yeuse",Adapté par Jotim éditions,2005,1064202837
Scenario Bilingue Franais-Anglais,The Big Lebowski,"Traduit par Richard MacCarthy, Olivier Peyon",1998,1069078147
De Jean Lorrain,Venise,Préface de Éric Walbecq,1998,1025812167
"Félix Servranx, William Servranx",Radiesthésie divinatoire,Servranx,2000,1063079447
archives secrètes,Epervier - Archives secrètes (L') - Tome 0 - L'Épervier - Archives secrètes,Dupuis,2006,1135362037
auzias/alNone dominique,"Guyane 2002, le petit fute",Le Petit Futé,2002,1188596337
De Jean Ziegler,Les Seigneurs du crime. Les nouvelles mafias contre la démocratie,Points,2007,1914585997
La mascherata,Le Quadrille des masques,"Traduit par Armand Pierhal, Viviana Pâques",2005,1864726177
De Juan Manuel Clark,la folie des briquets,Flammarion,2002,1853492517
bertrand regis,Economie financiere internationale,PUF,1975,1805161837
"Volume None, La folle et l'assassin",Folle Et L'Assassin (La) *Grand Format*,Dargaud,2000,1730450277
None795-None799,France Sous Le Directoi B,Préface de Albert Soboul,1984,1726444757
De San-Antonio,"Baisse la pression, tu me les gonfles !",Fleuve Editions,2004,1670421837
onze questions en débat,Les politiques scolaires mises en examen / onze questions en débat,Éditions Sociales Françaises – ESF,2009,1225380887
"les plantes du Moyen âge d'après les ""Grandes heures d'Anne de Bretagne""",Promenade dans des jardins disparus- Les Plantes au Moyen Age d'après les grandes heures d'Anne de Bretagne,Ouest-France ,2001,1198170887
De Jean-Luc Bizien,"Les empereurs-mages

1 - Souffle Du Dragon  - Ed2007",Bayard Jeunesse,2007,1188476777
De Didier Boutet,Pour un urbanisme rural,Harmattan,2004,1187932747
Gori Jennifer,Enfer Et Contre Tous,Publibook,2001,1187188817
De Lawrence Block,Ariel,Traduit par Jacques Finné,2007,1093306127
Pierre Fourny,La Langue Coupée En 2,La Sterne,2005,983642577
De Monica Charlot,Le Pouvoir Politique En Grande-Bretagne,PUF,1999,1805003017
De Émilie Beaumont,C'Est Comment ? T7 Animaux Du Froid (Les),Illustrations de Frankie Merlier,2004,1720419617
None I-IV,Histoire des animaux,Les Belles Lettres,1964,1684499907
Gervais/Michel,Finance Controle Strategie Vol 9 N.3,Économica,2006,1217647027
De Karen Horney,Dernieres Conferences,Traduit par Jeanne Etore,1992,1214496127
De Patricia Mercader,L'illusion transsexuelle,Harmattan,2000,1197075367
None,Hamilton Stark,Traduit par Rémy Lambrechts,2008,1192726747
Fondements de psychologie culturelle,L'Action symbolique,Harmattan,2000,1197060997
None,L'été de Loulou ou les plaisirs du jeune âge,NiL éditions,2002,1094387627
écrits,"Merz : écrits Schwitters, Kurt",Traduit par Corinne Graber,1990,1083658037
De Gérard Bayo,"La révolte d'Arthur Rimbaud Bayo, Gérard",Librairie bleue-essais,1995,1071979137
Francisque Costa,L'oeuvre d'Izaak Walton (1593-1683),Klincksieck,1973,1070895787
l'histoire traditionnelle de la vie du Bouddha Çakyamuni,Le Lalitavistara - L'histoire traditionnelle de la vie du Bouddha Çakyamuni,Deux océans,1992,1068690067
auzias/alNone dominique,Sardaigne Carnets De Voyage 2004  Le Petit Fute,Le Petit Futé,2004,1188588707
Laruelle Francois,Machines Textuelles. Deconstruction Et Libido D'Ecriture,Seuil,1976,1915457137
Jean Rostand,Biologie et médecine,Gallimard,2002,1865244807
De Serge Laget,La saga du tour de France,Gallimard,1990,1864969277
De Henri Renaud,Du Choix Du Terrain Aux Plans D'Execution 2E Edition,Eyrolles,2006,1723379987
étude comparée du droit italien et du droit français de la représentativité syndicale,l'etat. l'autonomie collective et le travailleur : étude comparée du droit itali,Librairie générale de droit et de jurisprudence,1995,1660497637
De Jonathan Swift,Le Conte du tonneau,Autres contributions de Georges Lamoine,1992,1234798497
De Jean-Marc Poisson,"Les droits de l'homme et les libertés, fondamentales à l'épreuve de la dualité de juridictions",Harmattan,2003,1187945907
None,"Hier encore, mon père était mort",Thierry Magnier,2006,1091295307
Florence Maruéjol,L'art égyptien,Scala,1994,1068938967
